05M517    Teachers College Community School
05M670    Thurgood Marshall Academy for Learning and Social Change
05M692    High School for Mathematics, Science and Engineering at City College
06M004    P.S. 004 Duke Ellington
06M005    P.S. 005 Ellen Lurie
06M008    P.S. 008 Luis Belliard
06M018    P.S. 018 Park Terrace
06M028    P.S. 028 Wright Brothers
06M048    P.S. 048 P.O. Michael J. Buczek
06M052    J.H.S. 052 Inwood
06M098    P.S. 098 Shorac Kappock
06M103    Dos Puentes Elementary School
06M115    P.S. 115 Alexander Humboldt
06M128    P.S. 128 Audubon
06M132    P.S. 132 Juan Pablo Duarte
06M143    J.H.S. 143 Eleanor Roosevelt
06M152    P.S. 152 Dyckman Valley
06M153    P.S. 153 Adam Clayton Powell
06M173    P.S. 173
06M178    Professor Juan Bosch Public School
06M187    P.S./I.S. 187 Hudson Cliffs
06M189    P.S. 189
06M192    P.S. 192 Jacob H. Schiff
06M209    Hamilton Grange Middle School
06M210    P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership
06M211    Inwood Early College for Health and Information Technologies
06M218    I.S. 218 Salome Urena
06M223    The Mott Hall School
06M278    Paula Hedbavny School
06M293    City College Academy of the Arts
06M311    Amistad Dual Language School
06M314    Muscota
06M319    M.S. 319 - Maria Teresa
06M322    Middle School 322
06M324    M.S. 324 - Patria Mirabal
06M325    P.S. 325
06M328    Community Math & Science Prep
06M346    Community Health Academy of the Heights
06M348    Washington Heights Expeditionary Learning School
06M349    Harbor Heights
06M366    Washington Heights Academy
06M368    Hamilton Heights School
06M423    High School for Excellence and Innovation
06M462    The College Academy
06M463    High School for Media and Communications
06M467    High School for Law and Public Service
06M468    High School for Health Careers and Sciences
06M513    Castle Bridge School
06M528    I.S. 528 Bea Fuller Rodgers School
06M540    A. Philip Randolph Campus High School
06M552    Gregorio Luperon High School for Science and Mathematics
07X001    P.S. 001 Courtlandt School
07X005    P.S. 5 Port Morris
07X018    P.S. 018 John Peter Zenger
07X025    P.S. 025 Bilingual School
07X029    P.S./M.S. 029 Melrose School
07X030    P.S. 030 Wilton
07X031    P.S./M.S. 031 The William Lloyd Garrison
07X043    P.S. 043 Jonas Bronck
07X049    P.S. 049 Willis Avenue
07X065    P.S. 065 Mother Hale Academy
07X151    J.H.S. 151 Lou Gehrig
07X154    P.S. 154 Jonathan D. Hyatt
07X157    P.S. 157 Grove Hill
07X161    P.S. 161 Juan Ponce De Leon School
07X162    J.H.S. 162 Lola Rodriguez De Tio
07X179    P.S. 179
07X221    South Bronx Preparatory: A College Board School
07X223    M.S. 223 The Laboratory School of Finance and Technology
07X224    P.S./I.S. 224
07X259    H.E.R.O. High (Health, Education, and Research Occupations High School)
07X277    P.S. 277
07X296    South Bronx Academy for Applied Media
07X298    Academy of Public Relations
07X334    International Community High School
07X343    Academy of Applied Mathematics and Technology
07X359    Concourse Village Elementary School
07X369    Young Leaders Elementary School
07X379    Jill Chaifetz Transfer High School
07X381    Bronx Haven High School
07X427    Community School for Social Justice
07X473    Mott Haven Village Preparatory High School
07X495    University Heights Secondary School
07X500    Hostos-Lincoln Academy of Science
07X522    Bronx Design and Construction Academy
07X527    Bronx Leadership Academy II High School
07X533    Learning through Play Pre-K Center
07X547    New Explorers High School
07X548    Careers in Sports High School
07X551    The Urban Assembly Bronx Academy of Letters
07X557    Mott Haven Community High School
07X600    Alfred E. Smith Career and Technical Education High School
07X670    Health Opportunities High School
08X014    P.S. X014 Senator John Calandra
08X036    P.S. 036 Unionport
08X048    P.S. 048 Joseph R. Drake
08X062    P.S. 062 Inocensio Casanova
08X069    P.S. 069 Journey Prep School
08X071    P.S. 071 Rose E. Scala
08X072    P.S. 072 Dr. William Dorney
08X075    P.S. 75 School of Research and Discovery
08X093    P.S. 093 Albert G. Oliver
08X100    P.S. 100 Isaac Clason
08X101    M.S. X101 Edward R. Byrne
08X107    P.S. 107
08X119    The Dr. Emmett W. Bassett School
08X123    J.H.S. 123 James M. Kieran
08X125    J.H.S. 125 Henry Hudson
08X130    P.S. 130 Abram Stevens Hewitt
08X131    J.H.S. 131 Albert Einstein
08X138    P.S. 138 Samuel Randall
08X140    P.S. X140 The Eagle School
08X146    P.S. 146 Edward Collins
08X152    P.S. 152 Evergreen
08X182    P.S. 182
08X269    Bronx Studio School for Writers and Artists
08X282    Women's Academy of Excellence
08X293    Renaissance High School for Musical Theater & Technology
08X301    M.S. 301 Paul L. Dunbar
08X302    M.S. 302 Luisa Dessus Cruz
08X304    P.S. 304 Early Childhood School
08X305    Pablo Neruda Academy
08X312    Millennium Art Academy
08X320    Pelham Lab High School
08X332    Holcombe L. Rucker School of Community Research
08X333    P.S. 333 - The Museum School
08X335    The Academy of the Arts
08X337    The School for Inquiry and Social Justice
08X348    Schuylerville Preparatory High School
08X349    Bronx River High School
08X367    Archimedes Academy for Math, Science and Technology Applications
08X371    Urban Institute of Mathematics
08X375    The Bronx Mathematics Preparatory School
08X376    Antonia Pantoja Preparatory Academy: A College Board School
08X377    Bronx Community High School
08X392    Bronx Delta School
08X405    Herbert H. Lehman High School
08X424    The Hunts Point School
08X432    Bronx Bridges High School
08X448    Soundview Academy for Culture and Scholarship
08X452    Bronx Guild
08X467    Mott Hall Community School
08X519    Felisa Rincon de Gautier Institute for Law and Public Policy, The
08X530    Banana Kelly High School
08X537    Bronx Arena High School
08X558    Westchester Square Academy
08X559    School for Tourism and Hospitality
08X561    Bronx Compass High School
08X562    Blueprint Middle School
09X004    P.S./M.S. 004 Crotona Park West
09X011    P.S. 011 Highbridge
09X022    J.H.S. 022 Jordan L. Mott
09X028    P.S. 028 Mount Hope
09X035    P.S. 035 Franz Siegel
09X042    P.S. 042 Claremont
09X053    P.S. 053 Basheer Quisim
09X055    P.S. 055 Benjamin Franklin
09X058    P.S. 058
09X063    P.S. 063 Author's Academy
09X070    P.S. 070 Max Schoenfeld
09X073    P.S. 073 Bronx
09X088    P.S. X088 - S. Silverstein Little Sparrow School
09X109    P.S. 109 Sedgwick
09X110    P.S. 110 Theodore Schoenfeld
09X114    P.S. X114 - Luis Llorens Torres Schools
09X117    I.S. 117 Joseph H. Wade
09X126    P.S. 126 Dr Marjorie H Dunbar
09X128    Mott Hall III
09X132    P.S. 132 Garret A. Morgan
09X145    J.H.S. 145 Arturo Toscanini
09X163    P.S. 163 Arthur A. Schomburg
09X170    P.S. 170
09X199    P.S. 199X - The Shakespeare School
09X204    P.S. 204 Morris Heights
09X215    Kappa
09X218    P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School
09X219    I.S. 219 New Venture School
09X227    Bronx Collegiate Academy
09X229    I.S. 229 Roland Patterson
09X231    Eagle Academy for Young Men
09X232    I.S. 232
09X236    P.S. 236 Langston Hughes
09X241    Urban Assembly School for Applied Math and Science, The
